Invoice Category,Family,Product,CPU,RAM,SKU ,SKU Description,Unit Of Measure,Unit Price
Compute,General Purpose,Virtual Machine GP Series,1,4,GP1 v1,"General Purpose (1 vCPU, 4 GB RAM) ",Hourly,£0.0654
Compute,General Purpose,Virtual Machine GP Series,2,8,GP2 v1,"General Purpose (2 vCPU, 8 GB RAM) ",Hourly,£0.0909
Compute,General Purpose,Virtual Machine GP Series,4,16,GP3 v1,"General Purpose (4 vCPU, 16 GB RAM) ",Hourly,£0.1784
Compute,General Purpose,Virtual Machine GP Series,6,24,GP4 v1,"General Purpose (6 vCPU, 24 GB RAM) ",Hourly,£0.2603
Compute,General Purpose,Virtual Machine GP Series,6,32,GP4-2 v1,"General Purpose (6 vCPU, 32GB RAM) ",Hourly,£0.3329
Compute,General Purpose,Virtual Machine GP Series,8,32,GP5 v1,"General Purpose (8 vCPU, 32 GB RAM) ",Hourly,£0.3567
Compute,General Purpose,Virtual Machine GP Series,10,40,GP6 v1,"General Purpose (10 vCPU, 40 GB RAM) ",Hourly,£0.3987
Compute,General Purpose,Virtual Machine GP Series,12,48,GP7 v1,"General Purpose (12 vCPU, 48 GB RAM) ",Hourly,£0.4565
Compute,General Purpose,Virtual Machine GP Series,16,64,GP8 v1,"General Purpose (16 vCPU, 64 GB RAM) ",Hourly,£0.6611
Compute,Compute Optimised,Virtual Machine CO Series,32,128,GP9 v1,"General Purpose (32 vCPU, 128 GB RAM) ",Hourly,£1.3221
Compute,Compute Optimised,Virtual Machine CO Series,1,2,CO1 v1,"Compute Optimised (1 vCPU, 2GB RAM) ",Hourly,£0.0379
Compute,Compute Optimised,Virtual Machine CO Series,2,4,CO2 v1,"Compute Optimised (2 vCPU, 4GB RAM) ",Hourly,£0.0775
Compute,Compute Optimised,Virtual Machine CO Series,4,8,CO3 v1,"Compute Optimised (4 vCPU, 8GB RAM) ",Hourly,£0.1522
Compute,Compute Optimised,Virtual Machine CO Series,6,12,CO4 v1,"Compute Optimised (6 vCPU, 12GB RAM) ",Hourly,£0.2342
Compute,Compute Optimised,Virtual Machine CO Series,8,16,CO5 v1,"Compute Optimised (8 vCPU, 16GB RAM) ",Hourly,£0.3050
Compute,Compute Optimised,Virtual Machine CO Series,10,20,CO6 v1,"Compute Optimised (10 vCPU, 20GB RAM) ",Hourly,£0.3368
Compute,Compute Optimised,Virtual Machine CO Series,12,24,CO7 v1,"Compute Optimised (12 vCPU, 24GB RAM) ",Hourly,£0.4260
Compute,Compute Optimised,Virtual Machine CO Series,16,32,CO8 v1,"Compute Optimised (16 vCPU, 32GB RAM) ",Hourly,£0.6188
Compute,Compute Balanced,Virtual Machine MO Series,32,64,CO9 v1,"Compute Optimised (32 vCPU, 64GB RAM) ",Hourly,£1.2030
